sample_id	group	stage	tissue	genotype	rep	ref
HP1E10R1	HP1E10	E10	PA1	Human	R1	mm10
HP1E10R2	HP1E10	E10	PA1	Human	R2	mm10
HP2E10R1	HP2E10	E10	PA2	Human	R1	mm10
HP2E10R2	HP2E10	E10	PA2	Human	R2	mm10
CP1E10R1	CP1E10	E10	PA1	Chimp	R1	mm10
CP1E10R2	CP1E10	E10	PA1	Chimp	R2	mm10
CP2E10R1	CP2E10	E10	PA2	Chimp	R1	mm10
CP2E10R2	CP2E10	E10	PA2	Chimp	R2	mm10
HFLE10R1	HFLE10	E10	FL	Human	R1	mm10
HFLE10R2	HFLE10	E10	FL	Human	R2	mm10
HHLE10R1	HHLE10	E10	HL	Human	R1	mm10
HHLE10R2	HHLE10	E10	HL	Human	R2	mm10
CFLE10R1	CFLE10	E10	FL	Chimp	R1	mm10
CFLE10R2	CFLE10	E10	FL	Chimp	R2	mm10
CHLE10R1	CHLE10	E10	HL	Chimp	R1	mm10
CHLE10R2	CHLE10	E10	HL	Chimp	R2	mm10
SRR4835044	P1K27ac	E10	PA1	WT	R1	mm10
SRR4835045	P2K27ac	E10	PA2	WT	R1	mm10
SRX3395791	FLK27ac	E10	FL	WT	R1	mm10
SRR3950341	HLK27ac	E10	HL	WT	R1	mm10
SRR3950342	HLK27ac	E10	HL	WT	R2	mm10
