SampleID,Tissue,Timepoint,Genotype,Condition,Replicate,Peaks,bamReads
HP1E9R1,PA1,E9,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E9/Peaks/HP1E9_peak/R1/HP1E9R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/HP1E9R1_out/HP1E9R1_callpeak.bam
HP1E9R2,PA1,E9,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E9/Peaks/HP1E9_peak/R2/HP1E9R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/HP1E9R2_out/HP1E9R2_callpeak.bam
CP1E9R1,PA1,E9,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E9/Peaks/CP1E9_peak/R1/CP1E9R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/CP1E9R1_out/CP1E9R1_callpeak.bam
CP1E9R2,PA1,E9,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E9/Peaks/CP1E9_peak/R2/CP1E9R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/CP1E9R2_out/CP1E9R2_callpeak.bam
HP2E9R1,PA2,E9,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E9/Peaks/HP2E9_peak/R1/HP2E9R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/HP2E9R1_out/HP2E9R1_callpeak.bam
HP2E9R2,PA2,E9,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E9/Peaks/HP2E9_peak/R2/HP2E9R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/HP2E9R2_out/HP2E9R2_callpeak.bam
CP2E9R1,PA2,E9,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E9/Peaks/CP2E9_peak/R1/CP2E9R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/CP2E9R1_out/CP2E9R1_callpeak.bam
CP2E9R2,PA2,E9,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E9/Peaks/CP2E9_peak/R2/CP2E9R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/CP2E9R2_out/CP2E9R2_callpeak.bam
HFLE9R1,FL,E9,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E9/Peaks/HFLE9_peak/R1/HFLE9R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/HFLE9R1_out/HFLE9R1_callpeak.bam
HFLE9R2,FL,E9,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E9/Peaks/HFLE9_peak/R2/HFLE9R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/HFLE9R2_out/HFLE9R2_callpeak.bam
