sample_id	group	stage	tissue	genotype	rep	ref
HP1E9R1	HP1E9	E9	PA1	Human	R1	hmm10
HP1E9R2	HP1E9	E9	PA1	Human	R2	hmm10
HP2E9R1	HP2E9	E9	PA2	Human	R1	hmm10
HP2E9R2	HP2E9	E9	PA2	Human	R2	hmm10
HFLE9R1	HFLE9	E9	FL	Human	R1	hmm10
HFLE9R2	HFLE9	E9	FL	Human	R2	hmm10
CP1E9R1	CP1E9	E9	PA1	Chimp	R1	cmm10
CP1E9R2	CP1E9	E9	PA1	Chimp	R2	cmm10
CP2E9R1	CP2E9	E9	PA2	Chimp	R1	cmm10
CP2E9R2	CP2E9	E9	PA2	Chimp	R2	cmm10
CFLE9R1	CFLE9	E9	FL	Chimp	R1	cmm10
CFLE9R2	CFLE9	E9	FL	Chimp	R2	cmm10
HP1E10R1	HP1E10	E10	PA1	Human	R1	hmm10
HP1E10R2	HP1E10	E10	PA1	Human	R2	hmm10
HP2E10R1	HP2E10	E10	PA2	Human	R1	hmm10
HP2E10R2	HP2E10	E10	PA2	Human	R2	hmm10
CP1E10R1	CP1E10	E10	PA1	Chimp	R1	cmm10
CP1E10R2	CP1E10	E10	PA1	Chimp	R2	cmm10
CP2E10R1	CP2E10	E10	PA2	Chimp	R1	cmm10
CP2E10R2	CP2E10	E10	PA2	Chimp	R2	cmm10
HFLE10R1	HFLE10	E10	FL	Human	R1	hmm10
HFLE10R2	HFLE10	E10	FL	Human	R2	hmm10
HHLE10R1	HHLE10	E10	HL	Human	R1	hmm10
HHLE10R2	HHLE10	E10	HL	Human	R2	hmm10
CFLE10R1	CFLE10	E10	FL	Chimp	R1	cmm10
CFLE10R2	CFLE10	E10	FL	Chimp	R2	cmm10
CHLE10R1	CHLE10	E10	HL	Chimp	R1	cmm10
CHLE10R2	CHLE10	E10	HL	Chimp	R2	cmm10
HP1E11R1	HP1E11	E11	PA1	Human	R1	hmm10
HP1E11R2	HP1E11	E11	PA1	Human	R2	hmm10
HP2E11R1	HP2E11	E11	PA2	Human	R1	hmm10
HP2E11R2	HP2E11	E11	PA2	Human	R2	hmm10
CP1E11R1	CP1E11	E11	PA1	Chimp	R1	cmm10
CP1E11R2	CP1E11	E11	PA1	Chimp	R2	cmm10
CP2E11R1	CP2E11	E11	PA2	Chimp	R1	cmm10
CP2E11R2	CP2E11	E11	PA2	Chimp	R2	cmm10
HFLE11R1	HFLE11	E11	FL	Human	R1	hmm10
HFLE11R2	HFLE11	E11	FL	Human	R2	hmm10
HHLE11R1	HHLE11	E11	HL	Human	R1	hmm10
HHLE11R2	HHLE11	E11	HL	Human	R2	hmm10
CFLE11R1	CFLE11	E11	FL	Chimp	R1	cmm10
CFLE11R2	CFLE11	E11	FL	Chimp	R2	cmm10
CHLE11R1	CHLE11	E11	HL	Chimp	R1	cmm10
CHLE11R2	CHLE11	E11	HL	Chimp	R2	cmm10
HPE12R1	HPE12	E12	PA	Human	R1	hmm10
HPE12R2	HPE12	E12	PA	Human	R2	hmm10
CPE12R1	CPE12	E12	PA	Chimp	R1	cmm10
CPE12R2	CPE12	E12	PA	Chimp	R2	cmm10
HFLE12R1	HFLE12	E12	FL	Human	R1	hmm10
HFLE12R2	HFLE12	E12	FL	Human	R2	hmm10
HHLE12R1	HHLE12	E12	HL	Human	R1	hmm10
HHLE12R2	HHLE12	E12	HL	Human	R2	hmm10
CFLE12R1	CFLE12	E12	FL	Chimp	R1	cmm10
CFLE12R2	CFLE12	E12	FL	Chimp	R2	cmm10
CHLE12R1	CHLE12	E12	HL	Chimp	R1	cmm10
CHLE12R2	CHLE12	E12	HL	Chimp	R2	cmm10
