sample_id	stage	tissue	root_path
CPA1E9	E9	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E9
CPA2E9	E9	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E9
HPA1E9	E9	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E9
HPA2E9	E9	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E9
CFLE9	E9	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E9
HFLE9	E9	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E9
CPA1E10	E10	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E10
CPA2E10	E10	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E10
HPA1E10	E10	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E10
HPA2E10	E10	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E10
CFLE10	E10	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E10
CHLE10	E10	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E10
HFLE10	E10	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E10
HHLE10	E10	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E10
CPA1E11	E11	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E11
CPA2E11	E11	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E11
HPA1E11	E11	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E11
HPA2E11	E11	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E11
CFLE11	E11	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E11
CHLE11	E11	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E11
HFLE11	E11	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E11
HHLE11	E11	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E11
CME12	E12	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E12
HME12	E12	PA	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/PA/E12
CFLE12	E12	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E12
CHLE12	E12	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E12
HFLE12	E12	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E12
HHLE12	E12	Limb	/gpfs/gibbs/pi/noonan/yj345/snRNAseq/Limb/E12
