motif	human_ensembl_gene_id	mouse_ensembl_gene_id	mouse_gene_name
Alx1	ENSG00000180318	ENSMUSG00000036602	Alx1
ALX3	ENSG00000156150	ENSMUSG00000014603	Alx3
Alx4	ENSG00000052850	ENSMUSG00000040310	Alx4
Ar	ENSG00000169083	ENSMUSG00000046532	Ar
Arid3a	ENSG00000116017	ENSMUSG00000019564	Arid3a
Arid3b	ENSG00000179361	ENSMUSG00000004661	Arid3b
Arid5a	ENSG00000196843	ENSMUSG00000037447	Arid5a
ARNT2	ENSG00000172379	ENSMUSG00000015709	Arnt2
Arnt	ENSG00000143437	ENSMUSG00000015522	Arnt
Arntl	ENSG00000133794	ENSMUSG00000055116	Bmal1
Arx	ENSG00000004848	ENSMUSG00000035277	Arx
ASCL1	ENSG00000139352	ENSMUSG00000020052	Ascl1
Ascl2	ENSG00000183734	ENSMUSG00000009248	Ascl2
Atf1	ENSG00000123268	ENSMUSG00000023027	Atf1
ATF2	ENSG00000115966	ENSMUSG00000027104	Atf2
Atf3	ENSG00000162772	ENSMUSG00000026628	Atf3
ATF4	ENSG00000128272	ENSMUSG00000042406	Atf4
ATF6	ENSG00000118217	ENSMUSG00000026663	Atf6
ATF7	ENSG00000170653	ENSMUSG00000099083	Atf7
Atoh1	ENSG00000172238	ENSMUSG00000073043	Atoh1
ATOH7	ENSG00000179774	ENSMUSG00000036816	Atoh7
BACH1	ENSG00000156273	ENSMUSG00000025612	Bach1
BACH2	ENSG00000112182	ENSMUSG00000040270	Bach2
Barhl1	ENSG00000125492	ENSMUSG00000026805	Barhl1
BARHL2	ENSG00000143032	ENSMUSG00000034384	Barhl2
BARX1	ENSG00000131668	ENSMUSG00000021381	Barx1
BARX2	ENSG00000043039	ENSMUSG00000032033	Barx2
BATF3	ENSG00000123685	ENSMUSG00000026630	Batf3
BATF	ENSG00000156127	ENSMUSG00000034266	Batf
BCL6B	ENSG00000161940	ENSMUSG00000000317	Bcl6b
Bcl6	ENSG00000113916	ENSMUSG00000022508	Bcl6
Bhlha15	ENSG00000180535	ENSMUSG00000052271	Bhlha15
BHLHE22	ENSG00000180828	ENSMUSG00000025128	Bhlhe22
BHLHE23	ENSG00000125533	ENSMUSG00000045493	Bhlhe23
Bhlhe40	ENSG00000134107	ENSMUSG00000030103	Bhlhe40
BHLHE41	ENSG00000123095	ENSMUSG00000030256	Bhlhe41
BSX	ENSG00000188909	ENSMUSG00000054360	Bsx
CDX1	ENSG00000113722	ENSMUSG00000024619	Cdx1
CDX2	ENSG00000165556	ENSMUSG00000029646	Cdx2
CDX4	ENSG00000131264	ENSMUSG00000031326	Cdx4
Cebpa	ENSG00000245848	ENSMUSG00000034957	Cebpa
CEBPB	ENSG00000172216	ENSMUSG00000056501	Cebpb
CEBPD	ENSG00000221869	ENSMUSG00000071637	Cebpd
CEBPE	ENSG00000092067	ENSMUSG00000052435	Cebpe
CEBPG	ENSG00000153879	ENSMUSG00000056216	Cebpg
CENPB	ENSG00000125817	ENSMUSG00000068267	Cenpb
CLOCK	ENSG00000134852	ENSMUSG00000029238	Clock
CREB1	ENSG00000118260	ENSMUSG00000025958	Creb1
CREB3	ENSG00000107175	ENSMUSG00000028466	Creb3
CREB3L1	ENSG00000157613	ENSMUSG00000027230	Creb3l1
Creb3l2	ENSG00000182158	ENSMUSG00000038648	Creb3l2
CREB3L4	ENSG00000143578	ENSMUSG00000027938	Creb3l4
Creb5	ENSG00000146592	ENSMUSG00000053007	Creb5
Crem	ENSG00000095794	ENSMUSG00000063889	Crem
Crx	ENSG00000105392	ENSMUSG00000041578	Crx
CTCF	ENSG00000102974	ENSMUSG00000005698	Ctcf
CTCFL	ENSG00000124092	ENSMUSG00000070495	Ctcfl
CUX1	ENSG00000257923	ENSMUSG00000029705	Cux1
CUX2	ENSG00000111249	ENSMUSG00000042589	Cux2
DBP	ENSG00000105516	ENSMUSG00000059824	Dbp
Dlx1	ENSG00000144355	ENSMUSG00000041911	Dlx1
Dlx2	ENSG00000115844	ENSMUSG00000023391	Dlx2
Dlx3	ENSG00000064195	ENSMUSG00000001510	Dlx3
Dlx4	ENSG00000108813	ENSMUSG00000020871	Dlx4
DLX5	ENSG00000105880	ENSMUSG00000029755	Dlx5
DLX6	ENSG00000006377	ENSMUSG00000029754	Dlx6
Dmbx1	ENSG00000197587	ENSMUSG00000028707	Dmbx1
Dmrt1	ENSG00000137090	ENSMUSG00000024837	Dmrt1
DMRT3	ENSG00000064218	ENSMUSG00000042372	Dmrt3
DMRTA2	ENSG00000142700	ENSMUSG00000047143	Dmrta2
Dmrtb1	ENSG00000143006	ENSMUSG00000028610	Dmrtb1
DMRTC2	ENSG00000142025	ENSMUSG00000011349	Dmrtc2
DRGX	ENSG00000165606	ENSMUSG00000041730	Drgx
DUX4	ENSG00000260596	ENSMUSG00000048502	Duxbl1
E2F1	ENSG00000101412	ENSMUSG00000027490	E2f1
E2F2	ENSG00000007968	ENSMUSG00000018983	E2f2
E2F3	ENSG00000112242	ENSMUSG00000016477	E2f3
E2F4	ENSG00000205250	ENSMUSG00000014859	E2f4
E2F6	ENSG00000169016	ENSMUSG00000057469	E2f6
E2F7	ENSG00000165891	ENSMUSG00000020185	E2f7
E2F8	ENSG00000129173	ENSMUSG00000046179	E2f8
EBF1	ENSG00000164330	ENSMUSG00000057098	Ebf1
Ebf2	ENSG00000221818	ENSMUSG00000022053	Ebf2
EBF3	ENSG00000108001	ENSMUSG00000010476	Ebf3
Egr1	ENSG00000120738	ENSMUSG00000038418	Egr1
EGR2	ENSG00000122877	ENSMUSG00000037868	Egr2
EGR3	ENSG00000179388	ENSMUSG00000033730	Egr3
EGR4	ENSG00000135625	ENSMUSG00000071341	Egr4
EHF	ENSG00000135373	ENSMUSG00000012350	Ehf
ELF1	ENSG00000120690	ENSMUSG00000036461	Elf1
ELF2	ENSG00000109381	ENSMUSG00000037174	Elf2
ELF3	ENSG00000163435	ENSMUSG00000003051	Elf3
ELF4	ENSG00000102034	ENSMUSG00000031103	Elf4
ELF5	ENSG00000135374	ENSMUSG00000027186	Elf5
ELK1	ENSG00000126767	ENSMUSG00000009406	Elk1
ELK3	ENSG00000111145	ENSMUSG00000008398	Elk3
ELK4	ENSG00000158711	ENSMUSG00000026436	Elk4
EMX1	ENSG00000135638	ENSMUSG00000033726	Emx1
EMX2	ENSG00000170370	ENSMUSG00000043969	Emx2
En1	ENSG00000163064	ENSMUSG00000058665	En1
EN2	ENSG00000164778	ENSMUSG00000039095	En2
EOMES	ENSG00000163508	ENSMUSG00000032446	Eomes
ERF	ENSG00000105722	ENSMUSG00000040857	Erf
Erg	ENSG00000157554	ENSMUSG00000040732	Erg
ESR1	ENSG00000091831	ENSMUSG00000019768	Esr1
ESR2	ENSG00000140009	ENSMUSG00000021055	Esr2
Esrra	ENSG00000173153	ENSMUSG00000024955	Esrra
Esrrb	ENSG00000119715	ENSMUSG00000021255	Esrrb
Esrrg	ENSG00000196482	ENSMUSG00000026610	Esrrg
ESX1	ENSG00000123576	ENSMUSG00000023443	Esx1
Ets1	ENSG00000134954	ENSMUSG00000032035	Ets1
ETS2	ENSG00000157557	ENSMUSG00000022895	Ets2
ETV1	ENSG00000006468	ENSMUSG00000004151	Etv1
ETV2	ENSG00000105672	ENSMUSG00000006311	Etv2
ETV3	ENSG00000117036	ENSMUSG00000003382	Etv3
ETV4	ENSG00000175832	ENSMUSG00000017724	Etv4
ETV5	ENSG00000244405	ENSMUSG00000013089	Etv5
ETV6	ENSG00000139083	ENSMUSG00000030199	Etv6
EVX1	ENSG00000106038	ENSMUSG00000005503	Evx1
